Timestamp;Angle_Jscope;AngleSpeed_Jscope;Current_Jscope
508087;-4;0;0
510084;-4;2000;0
512102;-4;0;0
514090;-4;-3000;0
516085;-6;-3000;0
518087;-6;-3000;0
520085;-6;-3000;0
522103;-6;-3000;0
524083;-6;-3000;0
526086;-6;-3000;0
528088;-6;0;2
530087;-6;-3000;10
532122;-6;0;22
534084;-6;0;40
536088;-4;0;62
538085;-4;0;90
540084;-4;0;123
542089;-6;-3000;161
544097;-6;-3000;204
546086;-6;-3000;251
548088;-6;0;304
550087;-6;-3000;362
552084;-6;0;425
554098;-6;0;493
556087;-6;-3000;565
558083;-6;-3000;643
560082;-6;-3000;726
562084;-6;-3000;814
564100;-6;0;907
566088;-6;0;1010
568083;-6;-3000;1110
570089;-6;-3000;1220
572084;-6;-3000;1330
574099;-6;0;1450
576086;-6;0;1570
578089;-6;0;1700
580087;-6;-3000;1830
582089;-6;0;1970
584098;-6;0;2110
586086;-6;-3000;2260
588089;-6;-3000;2420
590086;-6;0;2570
592089;-6;0;2740
594103;-6;-3000;2910
596084;-6;0;3080
598089;-6;0;3260
600088;-4;0;3440
602085;-6;0;3630
604120;-6;0;3820
606084;-6;-3000;4019
608089;-6;-3000;4220
610089;-6;-3000;4430
612085;-6;-3000;4650
614090;-6;0;4870
616104;-6;-3000;5090
618086;-6;0;5320
620085;-6;0;5550
622090;-6;-3000;5790
624087;-6;-3000;6030
626104;-6;0;6280
628082;-6;0;6540
630088;-6;0;6800
632082;-4;0;7060
634086;-4;0;7330
636165;-4;0;7600
638085;-4;-3000;7880
640082;-4;0;8170
642086;-4;-3000;8450
644088;-4;-3000;8750
646083;-4;0;9050
648103;-4;-3000;9350
650086;-6;-3000;9660
652089;-6;-3000;9980
654084;-6;-3000;10300
656087;-4;0;10600
658096;-4;0;10900
660086;-4;0;11300
662083;-4;0;11600
664088;-4;0;12000
666085;-4;0;12300
668101;-4;0;12700
670086;-4;-3000;13000
672082;-4;-3000;13400
674088;-4;0;13800
676084;-4;0;14100
678101;-4;-3000;14500
680086;-4;-3000;14900
682083;-4;0;15300
684087;-4;0;15700
686084;-4;-3000;16100
688098;-4;0;16500
690082;-4;-3000;16900
692084;-4;0;17300
694086;-4;0;17700
696089;-4;-3000;18200
698102;-4;0;18600
700084;-4;-3000;19000
702087;-4;0;19500
704089;-4;-3000;19900
706085;-4;-3000;20400
708102;-4;0;20800
710085;-4;-3000;21300
712087;-4;0;21700
714082;-4;0;22200
716085;-4;-3000;22700
718097;-4;0;23200
720087;-4;-3000;23600
722082;-4;-3000;24100
724085;-4;0;24600
726088;-4;-3000;25100
728098;-4;0;25600
730083;-4;0;26100
732087;-4;0;26700
734084;-4;0;27200
736089;-4;-3000;27700
738103;-4;-3000;28200
740087;-4;-3000;28800
742084;-4;0;29300
744089;-4;0;29900
746086;-4;0;30400
748104;-4;-3000;31000
750088;-4;-3000;31500
752085;-4;0;32100
754090;-4;0;32700
756087;-4;0;33200
758104;-4;-3000;33800
760086;-4;0;34400
762089;-4;-3000;35000
764084;-4;-3000;35600
766087;-4;0;36200
768116;-4;0;36800
770103;-4;-3000;37400
772083;-4;0;38000
774085;-4;0;38600
776088;-4;0;39300
778084;-4;0;39900
780101;-4;-3000;40500
782089;-4;-3000;41200
784084;-4;0;41800
786087;-2;0;42500
788089;-2;0;43100
790097;-2;0;43800
792085;-2;-3000;44400
794090;-2;0;45100
796086;-2;0;45800
798083;-2;0;46500
800103;-4;-3000;47200
802085;-4;-3000;47800
804090;-2;0;48500
806087;-2;0;49200
808083;-2;0;49900
810100;-2;0;50700
812089;-2;-3000;51400
814086;-2;-3000;52100
